int, omega, ref, sam
1.325937702257543359e-09,3.139424954658815992e+00,1.323198888033042836e-09,1.323198888033042836e-09
1.339665374345122930e-09,3.138901804358089631e+00,1.368191857866734102e-09,1.368191857866734102e-09HIBA
1.290901851273776799e-09,3.138378828382688557e+00,1.414660270265907668e-09,1.414660270265907668e-09
1.182264875397086101e-09,3.137856026645493124e+00,1.462650645877873124e-09,1.462650645877873124e-09
1.022347857428611118e-09,3.137333399059442751e+00,1.512210910518858359e-09,1.512210910518858359e-09
8.252976104846300630e-10,3.136810945537534145e+00,1.563390435651322728e-09,1.563390435651322728e-09
6.098335519167174246e-10,3.136288665992822633e+00,1.616240079966660009e-09,1.616240079966660009e-09
3.977658247524772398e-10,3.135766560338420383e+00,1.670812232102253419e-09,1.670812232102253419e-09
2.121213420593646322e-10,3.135244628487498630e+00,1.727160854521189236e-09,1.727160854521189236e-09
7.503116950960952982e-11,3.134722870353285007e+00,1.785341528585491530e-09,1.785341528585491530e-09
5.565247261764621062e-12,3.134201285849066654e+00,1.845411500852119904e-09,1.845411500852119904e-09
1.771736369423884340e-11,3.133679874888186667e+00,1.907429730624374264e-09,1.907429730624374264e-09
1.187419391129085605e-10,3.133158637384046763e+00,1.971456938789296838e-09,1.971456938789296838e-09
3.080235462954979742e-10,3.132637573250105945e+00,2.037555657974840429e-09,2.037555657974840429e-09
5.766209488495274391e-10,3.132116682399881391e+00,2.105790284059716865e-09,2.105790284059716865e-09
9.075723486288143635e-10,3.131595964746947125e+00,2.176227129070655009e-09,2.176227129070655009e-09
1.276981744664313447e-09,3.131075420204934456e+00,2.248934475501795664e-09,2.248934475501795664e-09
1.655833435297968198e-09,3.130555048687532871e+00,2.323982632092223909e-09,2.323982632092223909e-09
2.012409281457852249e-09,3.130034850108488698e+00,2.401443991098745788e-09,2.401443991098745788e-09
2.315118288425075614e-09,3.129514824381605553e+00,2.481393087101167631e-09,2.481393087101167631e-09
2.535496976887941365e-09,3.128994971420744786e+00,2.563906657378699071e-09,2.563906657378699071e-09
2.651107602982010116e-09,3.128475291139824144e+00,2.649063703897164977e-09,2.649063703897164977e-09
2.648053737856667380e-09,3.127955783452819993e+00,2.736945556946602785e-09,2.736945556946602785e-09
2.522851214257356381e-09,3.127436448273764213e+00,2.827635940471997609e-09,2.827635940471997609e-09
2.283436845296244017e-09,3.126917285516746414e+00,2.921221039137462018e-09,2.921221039137462018e-09
1.949165017997640527e-09,3.126398295095913493e+00,3.017789567168500923e-09,3.017789567168500923e-09
1.549728302836911098e-09,3.125879476925469636e+00,3.117432839016146306e-09,3.117432839016146306e-09
1.123035611041635011e-09,3.125360830919674537e+00,3.220244841888385188e-09,3.220244841888385188e-09
7.121816913571793190e-10,3.124842356992846071e+00,3.326322310194206187e-09,3.326322310194206187e-09
3.617356215534972650e-10,3.124324055059359395e+00,3.435764801948893372e-09,3.435764801948893372e-09
1.136541941759375494e-10,3.123805925033644293e+00,3.548674777188818936e-09,3.548674777188818936e-09
3.180410955351873022e-12,3.123287966830190054e+00,3.665157678443410895e-09,3.665157678443410895e-09
5.511112484815737674e-11,3.122770180363540149e+00,3.785322013318429801e-09,3.785322013318429801e-09
2.808071114064783919e-10,3.122252565548296666e+00,3.909279439238157924e-09,3.909279439238157924e-09
6.762724207206355191e-10,3.121735122299117204e+00,4.037144850403640021e-09,4.037144850403640021e-09
1.221549947037267937e-09,3.121217850530716209e+00,4.169036467017791897e-09,4.169036467017791897e-09
1.881572214395987950e-09,3.120700750157864967e+00,4.305075926834828181e-09,4.305075926834828181e-09
2.608478823932197624e-09,3.120183821095390275e+00,4.445388379090255503e-09,4.445388379090255503e-09
3.345275590912220830e-09,3.119667063258176665e+00,4.590102580868224503e-09,4.590102580868224503e-09
4.030577336883065261e-09,3.119150476561164176e+00,4.739350995967721663e-09,4.739350995967721663e-09
4.604059228716355074e-09,3.118634060919349249e+00,4.893269896326021441e-09,4.893269896326021441e-09
5.012152364966783730e-09,3.118117816247784724e+00,5.051999466062536578e-09,5.051999466062536578e-09
5.213467998224623464e-09,3.117601742461580283e+00,5.215683908205797451e-09,5.215683908205797451e-09
5.183428408254311322e-09,3.117085839475900677e+00,5.384471554169562072e-09,5.384471554169562072e-09
4.917624292937902453e-09,3.116570107205967055e+00,5.558514976042125979e-09,5.558514976042125979e-09
4.433507613966693579e-09,3.116054545567057854e+00,5.737971101757739494e-09,5.737971101757739494e-09
3.770159659239944548e-09,3.115539154474506134e+00,5.923001333220578341e-09,5.923001333220578341e-09
2.986036995663685172e-09,3.115023933843701798e+00,6.113771667448863184e-09,6.113771667448863184e-09
2.154779763860742304e-09,3.114508883590089816e+00,6.310452820814423015e-09,6.310452820814423015e-09
1.359351658798723871e-09,3.113994003629172003e+00,6.513220356448967319e-09,6.513220356448967319e-09
6.849519807694933756e-10,3.113479293876506127e+00,6.722254814894884027e-09,6.722254814894884027e-09
2.112806503046977108e-10,3.112964754247704580e+00,6.937741848076818561e-09,6.937741848076818561e-09
4.832230731271049603e-12,3.112450384658437041e+00,7.159872356670825278e-09,7.159872356670825278e-09
1.119332966081189761e-10,3.111936185024427370e+00,7.388842630956217299e-09,7.388842630956217299e-09
5.532120180054027400e-10,3.111422155261456712e+00,7.624854495226592538e-09,7.624854495226592538e-09
1.320098184661796145e-09,3.110908295285360392e+00,7.868115455850333436e-09,7.868115455850333436e-09
2.373800596379458580e-09,3.110394605012030578e+00,8.118838853060443055e-09,8.118838853060443055e-09
3.647007186975609611e-09,3.109881084357414061e+00,8.377244016566895263e-09,8.377244016566895263e-09
5.048317061808532729e-09,3.109367733237513587e+00,8.643556425076890551e-09,8.643556425076890551e-09
6.469162548499032397e-09,3.108854551568386970e+00,8.918007869817850406e-09,8.918007869817850406e-09
7.792735639887048624e-09,3.108341539266147535e+00,9.200836622154141767e-09,9.200836622154141767e-09
8.904219713071268922e-09,3.107828696246965006e+00,9.492287605394626040e-09,9.492287605394626040e-09
9.701465546473253242e-09,3.107316022427062396e+00,9.792612570890448173e-09,9.792612570890448173e-09
1.010515832636089715e-08,3.106803517722720009e+00,1.010207027851672418e-08,1.010207027851672418e-08
1.006751207786034832e-08,3.106291182050272326e+00,1.042092668164815366e-08,1.042092668164815366e-08
9.578605502661021094e-09,3.105779015326108894e+00,1.074945511672645588e-08,1.074945511672645588e-08
8.669636559715409996e-09,3.105267017466675217e+00,1.108793649752755652e-08,1.108793649752755652e-08
7.412612306610197574e-09,3.104755188388470533e+00,1.143665951423974956e-08,1.143665951423974956e-08
5.916288027392161911e-09,3.104243528008050479e+00,1.179592083745822696e-08,1.179592083745822696e-08
4.318501662496174951e-09,3.103732036242024872e+00,1.216602532721508688e-08,1.216602532721508688e-08
2.775387661999174965e-09,3.103220713007059040e+00,1.254728624715573041e-08,1.254728624715573041e-08
1.448268056659278943e-09,3.102709558219872488e+00,1.294002548398295629e-08,1.294002548398295629e-08
4.892777208849770320e-10,3.102198571797240678e+00,1.334457377228569360e-08,1.334457377228569360e-08
2.695868689574223112e-11,3.101687753655993252e+00,1.376127092487963764e-08,1.376127092487963764e-08
1.531340489937030844e-10,3.101177103713013583e+00,1.419046606878285023e-08,1.419046606878285023e-08
9.123326882213195066e-10,3.100666621885241891e+00,1.463251788695106826e-08,1.463251788695106826e-08
2.294878718658496603e-09,3.100156308089671242e+00,1.508779486591350324e-08,1.508779486591350324e-08
4.234491747742167985e-09,3.099646162243350656e+00,1.555667554943031401e-08,1.555667554943031401e-08
6.610883774180154193e-09,3.099136184263382887e+00,1.603954879831880020e-08,1.603954879831880020e-08
9.257413264426276370e-09,3.098626374066925759e+00,1.653681405657996260e-08,1.653681405657996260e-08
1.197340155665728245e-08,3.098116731571190829e+00,1.704888162397195684e-08,1.704888162397195684e-08
1.454027084856243552e-08,3.097607256693445166e+00,1.757617293517201268e-08,1.757617293517201268e-08
1.674026761203113914e-08,3.097097949351009571e+00,1.811912084567868734e-08,1.811912084567868734e-08
1.837622905512880067e-08,3.096588809461259029e+00,1.867816992460194601e-08,1.867816992460194601e-08
1.929066602712258713e-08,3.096079836941623586e+00,1.925377675449536832e-08,1.925377675449536832e-08
1.938239714068364127e-08,3.095571031709587029e+00,1.984641023839080837e-08,1.984641023839080837e-08
1.861908762296311379e-08,3.095062393682687762e+00,2.045655191419194793e-08,2.045655191419194793e-08
1.704432069236813548e-08,3.094553922778517485e+00,2.108469627659413115e-08,2.108469627659413115e-08
1.477824312518888855e-08,3.094045618914723406e+00,2.173135110669124158e-08,2.173135110669124158e-08
1.201135066696089436e-08,3.093537482009005579e+00,2.239703780945013892e-08,2.239703780945013892e-08
8.991572021133862068e-09,3.093029511979118684e+00,2.308229175921520960e-08,2.308229175921520960e-08
6.005422760751101110e-09,3.092521708742872022e+00,2.378766265342715833e-08,2.378766265342715833e-08
3.354578589666809515e-09,3.092014072218127296e+00,2.451371487473849680e-08,2.451371487473849680e-08
1.329706964994628471e-09,3.091506602322801722e+00,2.526102786169946735e-08,2.526102786169946735e-08
1.837481854492443412e-10,3.090999298974865805e+00,2.603019648821732197e-08,2.603019648821732197e-08
1.070123002142355235e-10,3.090492162092342898e+00,2.682183145197134703e-08,2.682183145197134703e-08
1.206430957459732760e-09,3.089985191593311864e+00,2.763655967197616129e-08,2.763655967197616129e-08
3.491064709347788592e-09,3.089478387395904413e+00,2.847502469550597221e-08,2.847502469550597221e-08
6.865525910670117366e-09,3.088971749418305546e+00,2.933788711457192450e-08,2.933788711457192450e-08
1.113236339800906070e-08,3.088465277578755330e+00,3.022582499216023620e-08,3.022582499216023620e-08
1.600371292364277244e-08,3.087958971795545349e+00,3.113953429845519226e-08,3.113953429845519226e-08
2.112170612415446410e-08,3.087452831987022694e+00,3.207972935724129027e-08,3.207972935724129027e-08
2.608631933435627871e-08,3.086946858071587307e+00,3.304714330272885469e-08,3.304714330272885469e-08
3.048860430908712216e-08,3.086441049967691974e+00,3.404252854700969272e-08,3.404252854700969272e-08
3.394664590467134447e-08,3.085935407593844104e+00,3.506665725837589824e-08,3.506665725837589824e-08
3.614119814296597566e-08,3.085429930868603510e+00,3.612032185074305903e-08,3.612032185074305903e-08
3.684780617545196071e-08,3.084924619710583293e+00,3.720433548440334368e-08,3.720433548440334368e-08
3.596235409011280616e-08,3.084419474038451181e+00,3.831953257835545104e-08,3.831953257835545104e-08
3.351739069902881594e-08,3.083914493770926857e+00,3.946676933446834436e-08,3.946676933446834436e-08
2.968725613257540185e-08,3.083409678826783740e+00,4.064692427371198239e-08,4.064692427371198239e-08
2.478091581830094586e-08,3.082905029124847651e+00,4.186089878472859907e-08,4.186089878472859907e-08
