Frequency, int
3.000000000000000000e+00,5.626202119707337076e-07
2.999522281576260330e+00,5.433884729135521624e-06
2.999044715271558914e+00,1.230930337497747157e-05
2.998567301013248976e+00,1.600634306979390262e-05
2.998090038728729478e+00,1.329221036218249460e-05
2.997612928345446015e+00,6.040459297995829601e-06
2.997135969790890808e+00,4.231992644716689282e-07
2.996659162992600933e+00,1.919172308007526000e-06
2.996182507878160983e+00,9.974274390102281777e-06
2.995706004375200404e+00,1.756860525344213099e-05
2.995229652411395715e+00,1.727877267811256628e-05
2.994753451914469178e+00,8.924381414712050808e-06
2.994277402812187905e+00,8.720881897718807076e-07
2.993801505032366972e+00,2.154078051685855654e-06
2.993325758502864975e+00,1.240456450611460482e-05
2.992850163151588472e+00,2.091253652501222897e-05
2.992374718906488873e+00,1.781761944985909218e-05
2.991899425695562886e+00,6.192543809868863099e-06
2.991424283446853849e+00,1.833326156126325115e-08
2.990949292088450395e+00,7.881628206942064213e-06
2.990474451548486901e+00,2.106662868304990549e-05
2.989999761755143481e+00,2.287967473795476096e-05
2.989525222636645552e+00,1.035471361912104662e-05
2.989050834121264266e+00,1.446277949153106687e-07
2.988576596137316077e+00,7.306274392617153394e-06
2.988102508613163621e+00,2.322336755002324819e-05
2.987628571477213946e+00,2.548489566603933016e-05
2.987154784657920281e+00,1.014320677442211288e-05
2.986681148083781157e+00,9.402895528218518494e-09
2.986207661683340397e+00,1.187723101896051931e-05
2.985734325385186683e+00,2.887180540827948656e-05
2.985261139117954432e+00,2.420551611841242201e-05
2.984788102810322918e+00,4.689826199310254018e-06
2.984315216391017600e+00,2.911048033946836956e-06
2.983842479788807900e+00,2.378141531834635574e-05
2.983369892932508538e+00,3.291691759668068052e-05
2.982897455750979976e+00,1.391542474821720909e-05
2.982425168173127528e+00,6.794833296818852389e-08
2.981953030127900917e+00,1.798557294886619530e-05
2.981481041544296051e+00,3.692478626095556816e-05
2.981009202351352361e+00,2.166895278361969428e-05
2.980537512478155016e+00,3.624561163215726410e-07
2.980065971853834039e+00,1.534202122801522558e-05
2.979594580407564308e+00,3.989235885910117068e-05
2.979123338068564664e+00,2.581054652602204831e-05
2.978652244766100576e+00,5.947785747419985307e-07
2.978181300429480149e+00,1.711572779205650419e-05
2.977710504988057671e+00,4.399650251580936326e-05
2.977239858371231396e+00,2.528680212871799507e-05
2.976769360508443985e+00,2.490048831171960057e-08
2.976299011329183841e+00,2.459866619372804867e-05
2.975828810762982446e+00,4.825504274239896679e-05
2.975358758739417020e+00,1.867147649724769663e-05
2.974888855188108749e+00,1.776865226854780488e-06
2.974419100038722785e+00,3.875933149780693299e-05
2.973949493220970020e+00,4.720744580891012997e-05
2.973480034664604421e+00,6.842711785646465303e-06
2.973010724299424812e+00,1.340857564370907890e-05
2.972541562055274422e+00,5.499936348357572363e-05
2.972072547862040448e+00,3.275811890467274977e-05
2.971603681649654938e+00,1.338047911350539066e-07
2.971134963348093461e+00,4.024223657049898813e-05
2.970666392887375995e+00,5.666426032992869384e-05
2.970197970197566928e+00,7.696016760772378331e-06
2.969729695208774167e+00,1.885032186726954238e-05
2.969261567851150474e+00,6.582297574506411385e-05
2.968793588054892574e+00,2.789711138180313440e-05
2.968325755750239825e+00,4.209559399164803918e-06
2.967858070867477327e+00,6.150391327795563161e-05
2.967390533336932812e+00,4.961057482059705358e-05
2.966923143088979309e+00,7.193810835200641855e-09
2.966455900054031591e+00,5.091147993044972556e-05
2.965988804162550618e+00,6.673156138907207859e-05
2.965521855345039981e+00,3.365964789201247094e-06
2.965055053532046347e+00,4.030938464305195714e-05
2.964588398654161239e+00,7.844283589632499581e-05
2.964121890642019252e+00,9.681154365288073473e-06
2.963655529426299395e+00,3.296946371477969839e-05
2.963189314937723307e+00,8.653117161066272128e-05
2.962723247107057034e+00,1.521515979562489219e-05
2.962257325865109259e+00,3.004598283088996371e-05
2.961791551142733514e+00,9.302457864211032413e-05
2.961325922870825078e+00,1.762462528656961888e-05
2.960860440980324526e+00,3.209179498153505743e-05
2.960395105402214178e+00,9.885443950357139390e-05
2.959929916067520761e+00,1.577552716193051963e-05
2.959464872907314525e+00,4.009534455497839516e-05
2.958999975852708353e+00,1.031202287559681359e-04
2.958535224834858202e+00,9.910575242406224515e-06
2.958070619784964439e+00,5.559558071583743579e-05
2.957606160634269177e+00,1.026614479340149245e-04
2.957141847314059380e+00,2.646695647003923868e-06
2.956677679755663313e+00,7.943848285211184412e-05
2.956213657890453650e+00,9.243626942500344655e-05
2.955749781649846142e+00,4.469154880212225945e-07
2.955286050965298728e+00,1.087801913014306413e-04
2.954822465768312867e+00,6.816187047717966324e-05
2.954359025990433096e+00,1.368903776600389691e-05
2.953895731563246585e+00,1.332208877431970704e-04
2.953432582418384023e+00,3.258494385700030715e-05
2.952969578487517843e+00,5.165696125809742076e-05
2.952506719702364446e+00,1.344207905411387398e-04
2.952044005994682419e+00,3.180244242730864744e-06
2.951581437296272981e+00,1.099004062608573270e-04
2.951119013538981317e+00,9.706049012127689274e-05
2.950656734654693469e+00,1.088853238944254389e-05
2.950194600575339443e+00,1.571127976493167646e-04
2.949732611232891877e+00,3.353814983555204315e-05
2.949270766559365153e+00,7.494009968176612113e-05
2.948809066486816732e+00,1.454663190562554480e-04
2.948347510947346706e+00,1.994982712913629568e-07
2.947886099873097798e+00,1.599185564697310760e-04
2.947424833196254479e+00,6.520842891347407668e-05
2.946963710849044737e+00,5.744215731765248600e-05
2.946502732763738308e+00,1.742952917948486298e-04
2.946041898872647113e+00,5.017092357873962575e-07
2.945581209108125709e+00,1.704622420756191753e-04
2.945120663402570838e+00,7.738920525662921221e-05
2.944660261688421876e+00,6.416413807438289124e-05
2.944200003898160389e+00,1.895628048017970085e-04
2.943739889964309242e+00,1.956974119809561791e-08
2.943279919819434376e+00,2.003998058892606828e-04
2.942820093396143921e+00,6.111891128969846676e-05
2.942360410627088196e+00,1.032548094933000664e-04
2.941900871444958376e+00,1.816910749962071805e-04
2.941441475782488713e+00,1.059583259084364323e-05
2.940982223572456089e+00,2.390719861806909715e-04
2.940523114747677358e+00,2.034771189971907939e-05
2.940064149241013780e+00,1.839691816061423692e-04
2.939605326985366585e+00,1.251125964942134293e-04
2.939146647913679633e+00,7.324361998929990636e-05
2.938688111958938975e+00,2.368322436335068407e-04
2.938229719054171518e+00,3.197338285748022989e-06
2.937771469132447244e+00,2.725659042016322997e-04
2.937313362126876104e+00,2.782231253441393604e-05
2.936855397970611570e+00,2.146742249336607662e-04
2.936397576596847969e+00,1.293044525244133210e-04
2.935939897938821375e+00,1.090508412721257413e-04
2.935482361929809159e+00,2.449762152349266634e-04
2.935024968503130882e+00,2.283468829403250593e-05
2.934567717592146963e+00,3.142640141130322202e-04
2.934110609130260006e+00,1.976872039807412535e-06
2.933653643050913917e+00,3.103240082088699501e-04
2.933196819287593904e+00,5.335836680657193257e-05
2.932740137773826472e+00,2.442188837772001704e-04
2.932283598443179873e+00,1.520572296981560962e-04
2.931827201229263213e+00,1.497170749533026010e-04
2.931370946065727789e+00,2.606296535999653432e-04
2.930914832886265309e+00,6.342652023576448683e-05
2.930458861624609224e+00,3.468613061198196632e-04
2.930003032214534286e+00,1.088299515023208471e-05
2.929547344589856106e+00,3.930652596636208512e-04
2.929091798684431147e+00,1.849857778508218718e-06
2.928636394432158507e+00,3.967635736820841058e-04
2.928181131766975920e+00,3.275095069206232870e-05
2.927726010622865083e+00,3.661602316183308831e-04
2.927271030933846330e+00,9.231512081595062724e-05
2.926816192633982183e+00,3.142084726981342812e-04
2.926361495657376022e+00,1.671675924053314080e-04
2.925906939938172080e+00,2.537793966767113189e-04
2.925452525410555005e+00,2.456757071992271796e-04
2.924998252008751187e+00,1.948693942761931767e-04
2.924544119667027431e+00,3.197375518188110281e-04
2.924090128319691395e+00,1.436906080224229117e-04
2.923636277901091596e+00,3.849772135963392891e-04
2.923182568345616961e+00,1.030135904949799235e-04
2.922728999587697718e+00,4.400321153904121550e-04
2.922275571561804064e+00,7.310329820382226629e-05
2.921822284202447495e+00,4.855128878533724289e-04
2.921369137444179920e+00,5.277340238043573832e-05
2.920916131221593659e+00,5.229973525532981673e-04
2.920463265469321890e+00,4.030551672099224854e-05
2.920010540122038645e+00,5.542173215822227342e-04
2.919557955114457037e+00,3.415169599012404583e-05
2.919105510381332369e+00,5.804616374778012299e-04
2.918653205857459465e+00,3.343690296607433133e-05
2.918201041477673563e+00,6.021549027330978365e-04
2.917749017176850312e+00,3.831187317651532469e-05
2.917297132889906219e+00,6.185632424062367189e-04
2.916845388551797313e+00,5.019371359897984580e-05
2.916393784097520481e+00,6.276088390433242790e-04
2.915942319462113019e+00,7.188717745841322363e-05
2.915490994580651751e+00,6.258304982704852729e-04
2.915039809388253911e+00,1.075156915257623560e-04
2.914588763820077144e+00,6.085965640410018239e-04
2.914137857811319066e+00,1.621210406106653721e-04
2.913687091297217702e+00,5.707421666822190846e-04
2.913236464213050603e+00,2.407371944164753597e-04
2.912785976494135731e+00,5.078336289902668412e-04
2.912335628075830574e+00,3.467486751516857734e-04
2.911885418893533473e+00,4.182063025785871455e-04
2.911435348882682295e+00,4.794699251345347886e-04
2.910985417978753986e+00,3.057082160083147179e-04
2.910535626117266350e+00,6.312000750739973128e-04
2.910085973233777157e+00,1.826495542244537169e-04
2.909636459263883257e+00,7.845538191937176430e-04
2.909187084143221913e+00,7.181514563473954081e-05
2.908737847807469468e+00,9.115674619050441159e-04
2.908288750192342675e+00,5.714281764865217043e-06
2.907839791233597815e+00,9.766408709361226737e-04
2.907390970867030688e+00,2.094297608369469557e-05
2.906942289028476623e+00,9.452411675910426993e-04
2.906493745653810468e+00,1.462908894394830944e-04
2.906045340678947486e+00,7.987352514340156050e-04
2.905597074039841132e+00,3.857185711445603122e-04
2.905148945672485716e+00,5.522528828025626436e-04
2.904700955512914184e+00,7.016518252187428075e-04
2.904253103497199007e+00,2.676325210339263599e-04
2.903805389561452621e+00,1.008833963382801263e-03
2.903357813641825658e+00,4.961943024293696738e-05
2.902910375674510046e+00,1.190856070961004119e-03
2.902463075595735020e+00,1.483156810226583973e-05
2.902015913341770670e+00,1.145753937359813689e-03
2.901568888848924832e+00,2.339449913668066616e-04
2.901122002053546201e+00,8.507865294847624269e-04
2.900675252892021661e+00,6.682450752660706482e-04
2.900228641300777621e+00,4.136604877480934807e-04
2.899782167216279127e+00,1.142959781307727966e-03
2.899335830575031192e+00,6.280576612514919381e-05
2.898889631313577464e+00,1.402105655358546138e-03
2.898443569368500228e+00,4.471801249514902737e-05
2.897997644676421736e+00,1.252897646066952319e-03
2.897551857174002432e+00,4.543291176355357592e-04
2.897106206797942285e+00,7.336888152055314697e-04
2.896660693484979454e+00,1.103413749318617708e-03
2.896215317171892067e+00,1.723130424628414046e-04
2.895770077795496444e+00,1.566596205634586143e-03
2.895324975292647540e+00,1.987996552930233404e-05
2.894880009600239834e+00,1.459565626693416253e-03
2.894435180655205997e+00,4.982056882646902947e-04
2.893990488394517335e+00,7.995985167587530817e-04
2.893545932755185124e+00,1.317543587725932171e-03
2.893101513674257497e+00,1.210712885922561512e-04
2.892657231088822556e+00,1.794739452817363089e-03
2.892213084936007039e+00,1.035264398493780007e-04
2.891769075152975432e+00,1.433140266364275536e-03
2.891325201676931300e+00,9.003543298611473141e-04
2.890881464445117288e+00,5.138188971760856809e-04
2.890437863394813345e+00,1.815939227682758419e-03
2.889994398463338943e+00,3.192580279136325583e-09
2.889551069588051746e+00,1.873072824716004621e-03
2.889107876706347611e+00,5.835361544525824017e-04
2.888664819755661028e+00,9.213341586936565214e-04
2.888221898673465127e+00,1.755375727225794982e-03
2.887779113397270336e+00,4.345219439775573587e-05
2.887336463864626612e+00,2.156458273896520467e-03
2.886893950013121213e+00,4.350445987290923371e-04
2.886451571780380920e+00,1.201112778309809236e-03
2.886009329104068932e+00,1.785583152779615657e-03
2.885567221921888859e+00,8.514637184295304959e-05
2.885125250171580280e+00,2.368836303726858800e-03
2.884683413790922302e+00,4.513323929094048082e-04
2.884241712717731776e+00,1.290938182396522520e-03
2.883800146889863747e+00,1.997189423024401007e-03
2.883358716245211006e+00,5.541027906421107027e-05
2.882917420721704094e+00,2.528745609657610631e-03
2.882476260257313072e+00,6.671050343561461598e-04
2.882035234790043532e+00,1.139051470712458677e-03
2.881594344257941476e+00,2.411367138069672213e-03
2.881153588599089321e+00,4.417497510046664022e-07
2.880712967751607678e+00,2.533285371003136770e-03
2.880272481653654904e+00,1.187353064812975232e-03
2.879832130243427102e+00,7.198557140841075307e-04
2.879391913459159458e+00,2.924617488005959876e-03
2.878951831239122683e+00,1.342659484252796669e-04
2.878511883521626569e+00,2.163886897732437715e-03
2.878072070245019098e+00,2.095991940286814730e-03
2.877632391347684671e+00,1.810235174827270165e-04
2.877192846768045875e+00,3.192082817649087058e-03
2.876753436444563494e+00,8.270669726212709566e-04
2.876314160315734725e+00,1.266184286868262277e-03
2.875875018320095400e+00,3.177686993402864622e-03
2.875436010396218212e+00,5.306539205711564844e-05
2.874997136482713600e+00,2.659473507596714532e-03
2.874558396518229308e+00,2.281085478310037815e-03
2.874119790441451272e+00,2.150375682022211219e-04
2.873681318191101841e+00,3.617131980208269145e-03
2.873242979705940670e+00,1.110280716939480387e-03
2.872804774924766491e+00,1.164920772937351121e-03
2.872366703786413122e+00,3.794346432505147672e-03
2.871928766229753016e+00,2.518918295880735476e-04
2.871490962193695484e+00,2.440830259124891419e-03
2.871053291617187142e+00,3.274315048321548016e-03
2.870615754439212353e+00,4.719148489555104187e-06
2.870178350598791894e+00,3.588352140904148540e-03
2.869741080034983405e+00,2.374313949713034201e-03
2.869303942686883158e+00,3.635393961374136333e-04
2.868866938493623397e+00,4.340327026677322404e-03
2.868430067394373228e+00,1.431703003533384188e-03
2.867993329328339502e+00,1.141177708091839016e-03
2.867556724234765930e+00,4.638651788581908686e-03
2.867120252052932639e+00,6.777758795831561288e-04
2.866683912722157945e+00,2.106419498119090246e-03
2.866247706181795696e+00,4.567081172796924951e-03
2.865811632371237483e+00,2.086275128185140736e-04
2.865375691229911759e+00,3.073218078368788846e-03
2.864939882697283835e+00,4.267107241631917618e-03
2.864504206712854995e+00,1.474480650826568220e-05
2.864068663216164268e+00,3.932366201609357320e-03
2.863633252146787544e+00,3.876869200171178913e-03
2.863197973444336686e+00,2.814007158336625375e-05
2.862762827048460412e+00,4.644339949274864376e-03
2.862327812898844748e+00,3.502161052191252785e-03
2.861892930935212132e+00,1.621548948689275141e-04
2.861458181097321418e+00,5.215703755119676342e-03
2.861023563324967878e+00,3.212062084192141443e-03
2.860589077557983639e+00,3.358087808609530947e-04
2.860154723736237692e+00,5.674191427484034586e-03
2.859720501799634551e+00,3.047687519109967130e-03
2.859286411688116480e+00,4.846428932443599610e-04
2.858852453341661271e+00,6.049022919285919342e-03
2.858418626700283571e+00,3.034829043445441861e-03
2.857984931704034448e+00,5.636962539512452644e-04
2.857551368293000937e+00,6.357320853089345331e-03
2.857117936407306935e+00,3.194876406931784849e-03
2.856684635987111864e+00,5.482167199262174065e-04
2.856251466972612896e+00,6.595155899454191797e-03
2.855818429304042283e+00,3.550986928594484192e-03
2.855385522921668695e+00,4.362095378021694538e-04
2.854952747765797216e+00,6.731913379998690460e-03
2.854520103776768902e+00,4.127522948826406121e-03
2.854087590894961224e+00,2.549956849910530766e-04
2.853655209060787623e+00,6.708394934749508168e-03
2.853222958214697513e+00,4.940883879775874628e-03
2.852790838297176723e+00,7.157593920653019387e-05
2.852358849248747497e+00,6.441620247702187219e-03
2.851926991009966716e+00,5.980167418176939899e-03
2.851495263521428125e+00,3.234830661105400629e-06
2.851063666723762324e+00,5.841813055646394130e-03
2.850632200557633666e+00,7.178149597843568042e-03
